asset_id,asset_name,asset_description,asset_maker,record_type,parent_asset_id,children_count,site_id,serial_number,asset_tag,asset_user,equipment_id,legacy_identifier,criticality,condition,asset_class,activation_date,retirment_date,client_vendor_id,company_name,site_name,asset_has_image,has_image,parent_has_image,pool_id,pool,product_id,parent_product_id,product_name,parent_product_name,category_id,root_category_id,category_name,root_category_name,manufacturer_id,manufacturer,display_part_number,display_name,manufacturer_part_number,asset_room,location,station,tool_role,tool_id,department_id,department_name,custodian_name,warranty,warranty_end,is_warranty_expired,depreciation_method,depreciation_basis,salvage_value,total_service_cost,life_span_months,due_for_replacement_date,depreciation_proc,purchase_date,purchase_cost,time_in_service,retirement_reason,residual_cost,employee_id,asset_service_record_id,result_status,as_found_result,as_left_result,last_service_date,last_service,next_service_date,next_service,service_schedule_segment_id,service_schedule_id,service_schedule,service_order_id,service_order_status,custom_order_number,service_order_item_id,vendor,technician,certificate_number,due_trigger_date,past_due_trigger_date,due_status,work_status
1235686,Data Acquisition System - DAQBOOK/2005 - 807409,"DaqBook 2005, with connections for 40 type ""K"" thermocouples",IOtech,1,,0,96552,807409,K4,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,182527,168302.0,IOT DaqBook/2005 Multifunction Data Acquisition System,IOT DaqBook Series Multifunction Data Acquisition Systems,2476,2044,Data Acquisition System,,3458,IOtech,DaqBook/2005,,DaqBook/2005,Pyrometry Field,Pyro,,1,27512.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235704,"Thermocouple Wire Set - ""T"" Copper-Constantan - T101-T108","Thermocouple Wire Set - ""T"" Copper-Constantan - T101-T108",Unidentified,1,,0,96552,T101-T108,T100SET,,,,,,,,,,,Main Location,False,True,True,620646,Pyro,53711,33769.0,Temperature Sensor,Generic Thermometers,1622,88,Temperature Sensor,,1000,,GENERIC 1622,,GENERIC 1622,Pyrometry Field,Pyro,,1,27530.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235743,"Calibrator, Digital - Fluke 726 Field Potentiometer - 2266208",Field Calibrator used for testing of Temperature and Electrical instrumentation.,Fluke,1,,0,96552,2266208,FC13,James Haven,,,,,,2015-12-16,,,,Main Location,False,False,False,620646,Pyro,143902,139723.0,Fluke 726 Precision Multifunction Process Calibrator,Fluke Precision Multifunction Process Calibrator,266,70,Process Calibrator,,566,Fluke,726,,726,Pyrometry Field,Pyro,,1,27569.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235767,"Thermocouple Wire Set - ""J"" Iron-Constantan - High Temp J",,Unidentified,1,,0,96552,High Temp J,,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,,,1,27593.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235768,"Thermocouple Wire Set - ""K"" Chromel-Alumel - Ultra High Temp K",,Unidentified,1,,0,96552,Ultra High Temp K,,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,,,1,27594.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235769,"Thermocouple Wire Set - ""N"" Nicrosil-Nisil - Ultra High Temp N",,Unidentified,1,,0,96552,Ultra High Temp N,,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,,,1,27595.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235770,"Thermocouple Wire Set - ""J"" Iron-Constantan - ENV1","Thermocouple wire set, protected set per AMS 2750G, 3.1.7.5",Unidentified,1,,0,96552,ENV101,ENV101 SET,,,,,,,,,,,Main Location,False,True,True,620646,Pyro,53711,33769.0,Temperature Sensor,Generic Thermometers,1622,88,Temperature Sensor,,1000,,GENERIC 1622,,GENERIC 1622,Pyrometry Field,Pyrometry Lab,,1,27596.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235772,"Thermocouple Wire Set - ""K"" Chromel-Alumel - High Temp K",,Unidentified,1,,0,96552,High Temp K,,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,,,1,27598.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235777,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K101 - K110",Set of K low-temp thermocouple wires.,Unidentified,1,,0,96552,K101 - K110,K100SET,,,,,,,,,,,Main Location,False,True,True,620646,Pyro,53711,33769.0,Temperature Sensor,Generic Thermometers,1622,88,Temperature Sensor,,1000,,GENERIC 1622,,GENERIC 1622,Pyrometry Field,Pyrometry Lab,,1,27603.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1446161,"Calibrator, Digital - Fluke 726 Field Potentiometer - 4029712",Field Calibrator used for testing of Temperature and Electrical instrumentation.,Fluke,1,,0,96552,4029712,FC15,Jesse Regehr,,,,,,2020-11-19,,,,Main Location,False,True,False,620646,Pyro,310604,,Multifunction Calibrator,,1519,70,Electrical Calibrator,,566,Fluke,726,,726,Pyrometry Field,Pyro,,1,32144.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
